Theta	E	Eerr
90.021699	1814.345840	0.249799
90.021699	1857.807092	0.291281
90.021699	1668.554942	1.359926
90.021699	1735.592742	2.051517
93.476302	1804.845446	0.174535
93.476302	1849.565547	0.181382
93.476302	1652.719147	0.606992
93.476302	1707.804791	1.987298
105.704729	1824.489829	0.236625
105.704729	1779.882412	0.533926
105.704729	1612.825860	1.111292
105.704729	1703.480365	2.448917
116.584863	1799.937903	0.182220
116.584863	1578.845855	0.503192
116.584863	1669.742631	1.032195
58.718566	1873.948361	0.299517
58.718566	1849.312273	1.768127
58.718566	-6752.408829	1472.034665
126.827474	1782.883869	0.347922
126.827474	1545.068593	1.428730
126.827474	1641.117913	1.414214
163.846581	1732.875900	0.147051
163.846581	1449.517377	0.418203
163.846581	1566.039031	0.568901
117.193343	1800.282635	0.243592
117.193343	1576.969418	0.797094
117.193343	16404.588193	10705.335330
141.210175	1755.208811	0.345814
141.210175	1807.712905	0.874212
141.210175	1487.308448	1.112910
141.210175	1552.862098	4.857683
141.210175	1559.599309	2.465947
142.349925	1753.853416	0.320852
142.349925	1800.885162	0.738516
142.349925	1488.793963	0.973746
142.349925	1542.985752	2.285650
142.349925	1561.778893	2.599463
51.707524	1881.823510	0.117564
51.707524	1822.476275	1.498450
153.622963	1745.866921	0.163884
153.622963	1472.731931	0.435393
153.622963	1580.451304	0.915193
109.969800	1815.788576	0.202456
109.969800	1773.408395	0.800616
109.969800	1599.213968	0.640175
109.969800	1688.954522	1.714753
125.322902	1783.083964	0.251167
125.322902	1545.691090	0.595897
125.322902	2570.696300	2617.028834
110.544194	1815.070523	0.349616
110.544194	1779.984858	1.846124
110.544194	1597.252074	1.226299
110.544194	1685.229203	4.830620
110.544194	1141.865600	209.719920
162.275355	1734.518366	0.145409
162.275355	1452.974463	0.421784
162.275355	1568.966065	0.518691
89.428852	1816.577031	0.288157
89.428852	1859.609934	0.360167
89.428852	1671.663078	1.264950
89.428852	1732.807009	1.906286
146.988293	1752.831440	0.221433
146.988293	1464.325824	1.319161
146.988293	1487.477956	0.850423
146.988293	1592.113988	0.904826
162.933614	1734.140261	0.185801
162.933614	1451.684350	0.571254
162.933614	1569.701925	0.619495
165.515603	1736.760445	0.329735
165.515603	1447.353742	0.682496
165.515603	1570.535889	1.199667
165.515603	24036.770254	53366.997747
154.577229	1744.265495	0.164290
154.577229	1470.564583	0.443621
154.577229	1578.108106	0.816953
164.376375	1735.017126	0.322602
164.376375	1447.211849	0.973639
164.376375	1569.906181	1.117537
164.376375	1506.287166	5.080416
85.619426	1816.081597	0.216496
85.619426	1860.615698	0.309650
85.619426	1670.325948	0.717416
85.619426	1716.502475	1.895850
98.084118	1838.705943	0.244428
98.084118	1792.222530	0.331635
98.084118	1636.281694	0.935619
98.084118	1696.724385	6.158176
143.539149	1751.561493	0.337420
143.539149	1791.914183	0.498379
143.539149	1494.270639	1.040605
143.539149	1597.131784	1.910711
122.857198	1790.573865	0.221524
122.857198	1559.824661	0.586683
122.857198	1653.310373	1.224727
121.304323	1793.288146	0.347655
121.304323	1563.176289	1.137104
121.304323	3022.019959	4327.691190
88.238563	1816.047347	0.225467
88.238563	1859.813350	0.289574
88.238563	1672.029279	0.798546
88.238563	1733.256973	1.634283
80.664736	1828.721092	0.191283
80.664736	1872.963248	0.320459
80.664736	1757.764652	1.924545
80.664736	1693.041942	1.363190
82.794130	1827.501467	0.132450
82.794130	1870.723964	0.217594
82.794130	1688.937518	0.498746
82.794130	1740.856864	1.883074
75.759166	1838.417742	0.154187
75.759166	1883.970088	0.359399
75.759166	1712.686022	0.739256
75.759166	1761.072519	1.897569
72.591199	1847.188339	0.115136
72.591199	1892.875116	0.344079
72.591199	1175.464561	19.903628
72.591199	1765.108731	1.363998
161.032871	1735.756201	0.150788
161.032871	1454.790821	0.424005
161.032871	1570.604165	0.562664
80.039247	1829.986667	0.182562
80.039247	1874.924645	0.352133
80.039247	1697.669217	1.429559
80.039247	1763.323157	1.659194
78.855036	1834.114761	0.169870
78.855036	1880.036085	0.323066
78.855036	1701.613913	0.956382
78.855036	1758.582251	1.966573
87.489514	1816.060762	0.215116
87.489514	1859.899448	0.281986
87.489514	1669.121251	0.691414
87.489514	1711.387408	1.713952
156.885962	1741.232432	0.175421
156.885962	1464.823300	0.495002
156.885962	1579.701778	0.742639
77.633520	1837.410109	0.133299
77.633520	1882.216899	0.298561
77.633520	1708.667100	0.684272
77.633520	1762.551272	1.521503
156.122871	1742.452902	0.249099
156.122871	1467.269810	0.617065
156.122871	1577.274581	1.340721
144.184077	1758.647652	0.328396
144.184077	1479.211196	4.064440
144.184077	1518.609636	3.829510
144.184077	1598.119487	1.472515
103.026450	1828.992946	0.229701
103.026450	1781.320925	0.428112
103.026450	1632.868546	3.364733
103.026450	1634.522694	2.987136
103.026450	1694.380223	4.583844
144.913220	1756.886821	0.547424
144.913220	1491.333396	1.333434
144.913220	1600.409563	1.728667
91.260749	1850.579012	0.418092
91.260749	1803.919104	0.439653
91.260749	1650.194138	2.185789
91.260749	1691.140382	4.148327
159.465388	1737.897996	0.253787
159.465388	1459.145489	0.754605
159.465388	1573.568977	1.377141
79.409074	1831.740321	0.356577
79.409074	1875.943193	0.711136
79.409074	1700.719712	2.978083
79.409074	1766.111075	3.224515
124.506468	1784.440937	0.359172
124.506468	16503.934167	30659.090001
124.506468	1547.050960	1.093193
99.433933	1794.072772	0.884104
99.433933	1838.154084	0.437753
99.433933	1789.774507	1.762895
99.433933	1633.444456	1.373931
99.433933	1706.933760	3.438314
108.828017	1817.324887	0.256946
108.828017	1773.950977	0.807168
108.828017	1603.009869	0.929921
108.828017	1696.688672	2.429959
141.823968	1754.763167	0.708222
141.823968	1599.825102	11.203118
141.823968	1803.455724	1.876388
141.823968	1530.037119	0.466031
141.823968	1538.209797	0.092000
141.823968	1605.989535	7.953367
141.823968	1285.296172	59.179036
161.533119	1735.567679	0.311966
161.533119	1453.170623	1.031273
161.533119	1564.695929	2.915791
161.533119	1513.999478	0.030088
83.530964	1827.730132	0.155454
83.530964	1871.210968	0.251942
