Theta	E
113.613116	2694.297709
113.613116	2371.298710
113.613116	2498.844085
111.955353	2698.600167
111.955353	2380.706167
111.955353	2518.660167
111.955353	2697.216088
111.955353	2375.311781
111.955353	2497.849777
119.543640	2678.606833
119.543640	2343.718500
119.543640	2678.011454
119.543640	2343.877017
100.846749	2731.589167
100.846749	2442.685500
149.197359	2579.639833
149.197359	2152.782167
149.197359	2334.721500
149.197359	2578.156624
149.197359	2152.958843
149.197359	2334.306797
79.864244	2796.567500
79.864244	2569.643167
79.864244	1973.841833
79.864244	2794.619626
79.864244	2613.487210
79.864244	2045.490663
156.631635	2598.633500
156.631635	2184.771500
156.631635	2358.713500
156.631635	2596.710795
156.631635	2184.914648
156.631635	2359.165288
110.289431	2706.597500
110.289431	2389.703167
110.289431	2522.658833
110.289431	2704.951108
110.289431	2389.444520
110.289431	2515.552423
72.860269	2823.558500
72.860269	2772.575500
72.860269	2601.632500
72.860269	2008.830167
72.860269	2823.829228
72.860269	2786.734149
72.860269	2640.604999
72.860269	2114.305422
157.814572	2596.634167
157.814572	2181.772500
157.814572	2358.713500
157.814572	2594.967132
157.814572	2182.069660
157.814572	2358.011775
78.466609	2807.563833
78.466609	2603.631833
78.466609	2759.579833
78.466609	2571.642500
78.466609	2804.824721
78.466609	-1410.188462
78.466609	2632.463347
78.466609	2668.189561
148.281127	2584.638167
148.281127	2155.781167
148.281127	2338.720167
148.281127	2586.076043
148.281127	2172.473181
148.281127	2344.118198
72.070575	2825.557833
72.070575	2778.573500
72.070575	2612.628833
72.070575	2668.610167
72.070575	2009.829833
72.070575	2826.216759
72.070575	2794.721557
72.070575	2611.678263
72.070575	2663.358593
72.070575	2114.072222
85.625674	2777.573833
85.625674	2534.654833
85.625674	2776.758050
85.625674	7015.049074
108.079165	2710.596167
108.079165	2402.698833
108.079165	2710.382640
108.079165	2336.606383
100.268747	2739.586500
100.268747	2455.681167
100.268747	2738.023621
100.268747	4595.927039
93.171495	2760.579500
93.171495	2482.672167
93.171495	2509.663167
93.171495	2759.161590
93.171495	2494.363503
93.171495	2793.595348
54.730165	2829.556500
54.730165	2764.578167
54.730165	2883.538500
54.730165	2710.596167
54.730165	873.208833
54.730165	159.446833
54.730165	2449.683167
67.803404	2840.552833
67.803404	2794.568167
67.803404	2737.587167
67.803404	2635.621167
67.803404	2698.600167
67.803404	431.356167
67.803404	367.377500
68.322828	2839.553167
68.322828	2787.570500
68.322828	2627.623833
68.322828	2692.602167
68.322828	416.361167
68.322828	375.374833
68.322828	2663.611833
109.475851	2707.597167
109.475851	2398.700167
109.475851	2532.655500
109.475851	2707.420311
109.475851	2394.122459
109.475851	2512.531422
99.650826	2741.585833
99.650826	2443.685167
150.145194	2571.642500
150.145194	2141.785833
150.145194	2323.725167
150.145194	2571.350471
150.145194	2144.933299
150.145194	2325.109968
107.444621	2712.595500
107.444621	2410.696167
107.444621	2542.652167
107.444621	2711.787843
107.444621	2348.169458
107.444621	2399.640603
124.318759	2660.612833
124.318759	2309.729833
124.318759	2460.679500
124.318759	2660.851768
124.318759	2311.471433
124.318759	2461.871170
87.021149	2776.574167
87.021149	1955.847833
87.021149	2775.043638
87.021149	1955.357954
126.282224	2659.613167
126.282224	2305.731167
126.282224	2457.680500
126.282224	2658.090722
126.282224	2361.316473
126.282224	2457.050779
96.281272	2744.584833
96.281272	2460.679500
96.281272	2743.468803
96.281272	2460.647168
105.404974	2720.592833
105.404974	2416.694167
105.404974	2552.648833
105.404974	2719.858960
105.404974	2414.660397
105.404974	2534.790647
101.668942	2728.590167
101.668942	2418.693500
101.668942	2434.688167
101.668942	2672.608833
101.668942	2728.296128
101.668942	2428.651732
101.668942	2542.647809
101.668942	2696.158258
98.421313	2743.585167
98.421313	2452.682167
98.421313	2484.671500
98.421313	2743.247355
98.421313	2578.907508
98.421313	4076.912877
53.865725	2830.556167
53.865725	2711.595833
53.865725	2770.576167
53.865725	2884.538167
53.865725	842.219167
53.865725	814.228500
53.865725	2441.685833
104.017392	2724.591500
104.017392	2416.694167
104.017392	2723.714266
104.017392	2427.588559
108.697412	2709.596500
108.697412	2396.700833
108.697412	2709.232877
108.697412	2355.987065
121.713841	2672.608833
121.713841	2330.722833
121.713841	2671.438756
121.713841	2331.292403
106.434213	2713.595167
106.434213	2412.695500
106.434213	2545.651167
106.434213	2713.308611
106.434213	2406.939935
106.434213	2600.096729
111.241706	2699.599833
111.241706	2382.705500
111.241706	2522.658833
79.116563	2804.564833
79.116563	2800.257928
77.774357	2807.563833
77.774357	2755.581167
77.774357	2623.625167
77.774357	2576.640833
77.774357	2694.601500
142.664287	2612.628833
142.664287	2223.758500
142.664287	2612.857577
142.664287	2221.667627
93.696424	2760.579500
93.696424	2499.666500
93.696424	2099.799833
141.219914	2614.628167
141.219914	2231.755833
141.219914	2391.702500
141.219914	2616.541709
141.219914	2226.626856
141.219914	2391.818511
141.794129	2613.628500
141.794129	2231.755833
141.794129	2614.621565
141.794129	2225.550217
115.253456	2690.602833
115.253456	2363.711833
115.253456	2505.664500
69.893886	2829.556500
69.893886	2786.570833
69.893886	2729.589833
69.893886	2624.624833
69.893886	2666.610833
69.893886	2701.599167
88.798904	2776.574167
88.798904	2506.664167
88.798904	2774.880121
88.798904	4125.235572
117.666137	2683.605167
117.666137	2354.714833
117.666137	2683.282319
117.666137	2355.416301
116.916437	2684.604833
116.916437	2355.714500
116.916437	2684.016072
116.916437	2356.433639
92.611942	2761.579167
92.611942	2759.213991
151.261204	2568.643500
151.261204	2137.787167
151.261204	2319.726500
151.261204	2568.044629
151.261204	2139.182481
151.261204	2320.517095
144.211222	2608.630167
144.211222	2215.761167
144.211222	2607.999068
144.211222	2210.779201
159.191061	2594.634833
159.191061	2177.773833
159.191061	2355.714500
159.191061	2593.648749
159.191061	2178.191187
159.191061	2354.828004
104.756833	2723.591833
104.756833	2420.692833
104.756833	2118.793500
104.756833	2723.386759
104.756833	2422.345472
104.756833	8098.411722
112.470108	2696.600833
112.470108	2377.707167
112.470108	2515.661167
127.280423	2657.613833
127.280423	2305.731167
75.045398	2814.561500
75.045398	2582.638833
75.045398	2028.823500
75.045398	1964.844833
75.045398	2436.687500
75.045398	2723.591833
153.710563	2602.632167
153.710563	2195.767833
153.710563	2601.026017
153.710563	2194.287860
155.132135	2600.632833
155.132135	2189.769833
155.132135	2599.155151
155.132135	2188.809199
163.642551	2590.636167
163.642551	2168.776833
163.642551	2346.717500
163.642551	2590.297185
163.642551	2169.056038
163.642551	2347.827872
94.824898	2755.581167
94.824898	2471.675833
94.824898	2022.825500
94.824898	2754.896972
94.824898	2485.412940
94.824898	3444.640366
125.779703	2658.613500
125.779703	2306.730833
125.779703	2457.680500
125.779703	3524.065309
125.779703	2308.897508
125.779703	1074.607179
85.079935	2778.573500
85.079935	2530.656167
85.079935	2490.669500
85.079935	1949.849833
85.079935	1989.836500
85.079935	2778.256130
85.079935	2566.017272
85.079935	2345.251212
85.079935	1968.453158
85.079935	1976.324241
123.749327	2666.610833
123.749327	2325.724500
123.749327	2666.344986
123.749327	2322.912916
152.067642	2568.643500
152.067642	2608.630167
152.067642	2136.787500
152.067642	2199.766500
152.067642	2568.233738
152.067642	2603.850706
152.067642	2139.022638
152.067642	7731.211284
120.087521	2675.607833
120.087521	2332.722167
157.269931	2598.633500
157.269931	2184.771500
157.269931	2359.713167
157.269931	2596.194396
157.269931	2184.311935
157.269931	2359.522199
122.415601	2670.609500
122.415601	2328.723500
122.415601	2475.674500
122.415601	2669.918646
122.415601	2327.543518
122.415601	2475.784132
150.703895	2569.643167
150.703895	2135.787833
150.703895	2323.725167
96.936940	2743.585167
96.936940	2475.674500
96.936940	2438.686833
160.652490	2594.634833
160.652490	2176.774167
160.652490	2593.719990
160.652490	2177.335315
161.870773	2593.635167
161.870773	2172.775500
161.870773	2351.715833
144.768487	2606.630833
144.768487	2216.760833
144.768487	2381.705833
144.768487	2607.564183
144.768487	2209.826032
144.768487	2380.163002
113.024470	2696.600833
113.024470	2377.707167
122.928386	2668.610167
122.928386	2321.725833
122.928386	2471.675833
122.928386	2669.141001
122.928386	2323.805424
122.928386	8878.663638
163.118814	2592.635500
163.118814	2174.774833
163.118814	2592.234319
163.118814	2172.809699
124.966908	2658.613500
124.966908	2308.730167
124.966908	2457.680500
