Theta	E	Eerr
75.549581	2340.233835	0.163591
75.549581	2220.467040	1.248947
163.921471	2162.794684	0.091322
163.921471	1809.675840	0.221407
60.344878	2374.136219	0.692468
60.344878	2187.718048	5.264430
60.344878	2308.215110	1.864820
60.344878	540.053881	1.846726
60.344878	1751.762737	27.986933
86.874709	2314.393410	0.110777
86.874709	2146.867906	0.922705
59.619458	2314.677079	0.941334
59.619458	2093.729425	23.645182
59.619458	567.064259	2.615573
113.366015	2250.452412	0.102713
73.116220	2349.691945	0.179930
73.116220	2230.189602	1.157921
111.058115	2255.539153	0.088396
111.058115	1994.249249	0.325870
141.675862	2177.557446	0.097828
141.675862	1847.853096	0.246965
147.231885	2165.897469	0.092800
147.231885	1828.087316	0.213177
79.344033	2333.715637	0.152912
79.344033	2202.324440	1.610962
144.211850	2171.892218	0.090256
144.211850	1839.338718	0.219502
89.086140	2314.161670	0.123320
81.286304	2326.821414	0.135356
81.286304	2184.644482	1.255918
142.245322	2176.379104	0.127810
142.245322	1848.017610	0.286192
142.245322	1988.354194	0.442136
145.623619	2169.887557	0.086422
145.623619	1835.298736	0.212155
145.623619	1976.742204	0.355291
58.872052	2346.356199	0.771639
58.872052	2243.310087	2.536874
58.872052	1884.781054	18.176017
58.872052	354.264275	3.289237
58.872052	513.314267	7.076429
65.344253	2363.721979	0.250913
65.344253	2096.194275	7.100176
65.344253	2266.545633	1.329448
65.344253	703.113822	68.782568
127.591109	2219.216015	0.320976
127.591109	1921.607123	1.841343
127.591109	3897.583700	2477.411490
152.088021	2169.262752	0.129394
152.088021	1829.529306	0.287736
152.088021	1974.592368	0.528326
93.954795	2302.290122	0.109873
93.954795	2130.284494	1.186348
156.570284	2165.762349	0.087998
156.570284	1819.884293	0.202595
156.570284	1967.505742	0.301948
101.265520	2277.535436	0.096547
101.265520	2041.099676	0.346130
118.586590	2239.419761	0.109318
118.586590	1961.965066	0.314877
157.161143	2165.404076	0.085637
157.161143	1819.820311	0.263199
157.161143	1966.995051	0.305625
77.983484	2336.676512	0.167151
142.905680	2174.335997	0.113613
142.905680	1843.199147	0.289005
142.905680	1983.474886	0.376198
158.031026	2165.007969	0.094393
158.031026	1818.377514	0.219996
158.031026	1964.574351	0.341517
143.554771	2172.862242	0.172441
143.554771	1843.216282	0.417663
74.718300	2343.283025	0.180463
74.718300	2219.317143	1.492853
159.543946	2164.212195	0.088951
159.543946	1815.783330	0.208699
159.543946	1961.728371	0.304843
102.751183	2276.651128	0.102643
102.751183	2040.465799	0.402179
67.952471	2360.643934	0.210867
67.952471	2122.218785	6.329648
67.952471	992.219186	87.252391
67.952471	2262.894356	1.668590
61.792169	2295.842904	0.839476
61.792169	4871.972244	2191.627416
152.689069	2169.084594	0.122808
152.689069	1828.345947	0.260392
152.689069	1973.997645	0.391050
110.293941	2259.063375	0.124156
110.293941	2003.102681	0.437192
114.721291	2248.262688	0.106980
114.721291	1980.315924	0.365722
100.103990	2284.706155	0.107777
100.103990	2059.606725	0.591606
153.523378	2168.373964	0.097887
153.523378	1826.651873	0.235537
153.523378	1973.373095	0.326258
105.169817	2272.089175	0.110629
105.169817	2031.358024	0.533076
115.670220	2244.195514	0.106183
115.670220	1972.265490	0.361705
95.443836	2293.328319	0.113908
95.443836	2110.735700	1.142269
107.298842	2264.527663	0.102440
107.298842	2014.323195	0.355050
64.765687	2364.761496	0.397353
64.765687	2259.380448	1.394371
64.765687	-24086464422.890129	3168720606.679157
92.463454	2302.561921	0.112057
92.463454	2096.582496	0.653314
84.094537	2325.847559	0.140938
161.380883	2164.706136	0.090605
161.380883	1813.880556	0.210537
161.380883	1963.401903	0.318783
66.509640	2367.059938	0.399714
66.509640	2355.053274	426.049351
66.509640	2335.553815	1.544197
66.509640	2229.409031	1.448541
80.630626	2328.700606	0.155503
80.630626	2186.664866	1.589192
103.837137	2275.634013	0.107126
103.837137	2038.699687	0.582303
62.860945	2370.064819	0.364026
62.860945	2286.960450	1.282647
62.860945	2126.308294	5.622701
62.860945	874.747710	47.025931
81.928138	2326.948636	0.165005
83.060330	2326.886114	0.132877
83.060330	2178.705592	1.171053
76.374431	2338.509855	0.183087
76.374431	2219.912145	1.593354
85.529805	2315.450656	0.118419
85.529805	2152.717887	0.943361
93.364298	2302.617859	0.142958
114.204857	2249.882616	0.169571
114.204857	2090.831035	0.736981
90.657377	2302.561015	0.106546
90.657377	2098.831164	0.613921
125.118609	2220.160615	0.147965
125.118609	1926.850221	0.436586
125.118609	4366.774440	1716.406192
162.100048	2163.676576	0.096698
162.100048	1812.796991	0.261821
162.100048	1960.718489	0.337101
146.153779	2168.376534	0.126288
146.153779	1831.970417	0.294223
146.153779	1974.787489	0.439960
96.527979	2289.523090	0.100516
96.527979	2067.050337	0.435127
88.363413	2314.103590	0.139048
97.681775	2289.611373	0.103377
97.681775	2065.555653	0.411157
77.112282	2336.513855	0.212203
63.618879	2371.606112	0.364850
63.618879	2293.572679	1.510693
63.618879	2151.539794	6.561673
63.618879	611.083938	205.730831
61.189909	2377.703463	0.591424
61.189909	2331.528656	1.540533
61.189909	2247.400084	2.830452
61.189909	2276.632454	334.619040
61.189909	507.572321	5.045892
111.610783	2253.017546	0.140367
111.610783	1989.457141	0.441218
122.239317	2230.737490	0.121877
122.239317	1944.075634	0.326034
122.239317	2066.784553	0.535446
158.631404	2164.024258	0.126906
158.631404	1815.473454	0.319942
158.631404	1964.451772	0.459736
163.373063	2163.231691	0.123040
163.373063	1810.751846	0.292010
163.373063	1961.217828	0.413513
121.381824	2232.315564	0.120025
121.381824	1946.305302	0.328151
155.286779	2167.017924	0.091172
155.286779	1822.792055	0.202318
155.286779	1968.786890	0.284851
87.631400	2314.501767	0.157156
87.631400	2152.439261	1.670213
99.321592	2288.291862	0.117227
99.321592	2067.057223	0.714024
112.631970	2252.207907	0.110939
112.631970	1988.439939	0.368709
112.631970	2099.624311	0.650045
117.524335	2241.143855	0.102020
117.524335	1965.116067	0.291576
94.821756	2300.464484	0.161506
71.175803	2352.638211	0.305677
71.175803	2261.813868	4.922873
71.175803	2011.997448	87.164550
71.175803	867.489446	410.670600
105.983568	2267.299562	0.128371
105.983568	2018.511577	0.431690
90.053846	2310.718446	0.169015
72.404267	2348.333272	0.328063
72.404267	2241.199514	4.520501
72.404267	1925.205828	1179.851554
141.143585	2179.302811	0.333623
141.143585	1850.320172	1.691457
102.114854	2277.006155	0.125271
102.114854	2039.658200	0.490080
91.236308	2302.788214	0.134826
91.236308	2097.175724	1.304207
74.175186	2355.290425	0.529050
74.175186	2230.395861	2.038489
74.175186	2336.171662	1.087632
79.878851	2331.163640	0.254176
79.878851	2181.829003	3.051667
67.206545	2360.970049	0.338912
67.206545	735.943186	202.865435
67.206545	2273.476697	2.049837
67.206545	2123.298119	11.780195
107.895551	2263.419425	0.129210
107.895551	2011.503676	0.503084
91.950617	2303.264363	0.201318
91.950617	2116.200196	4.270183
78.771662	2336.538729	0.282233
78.771662	2208.292320	4.235839
78.771662	921.900110	244.689527
106.559326	2264.482414	0.194137
106.559326	2012.377063	0.671531
106.559326	2118.265686	3.766708
116.241080	2242.082580	0.133835
116.241080	1967.250652	0.417779
116.241080	2087.030639	0.661711
119.367354	2237.402378	0.120333
119.367354	1957.833961	0.356337
119.367354	2076.297244	0.471229
86.245257	2314.544880	0.192115
160.817981	2164.484192	0.112831
160.817981	1815.551203	0.253399
160.817981	1964.205183	0.467892
108.701602	2262.291418	0.121581
108.701602	2008.540310	0.398740
154.775385	2167.866241	0.121741
154.775385	1824.977318	0.311377
154.775385	1969.253528	0.446744
120.477443	2233.686351	0.117525
120.477443	1947.753832	0.335818
154.139775	2168.240147	0.164064
154.139775	1825.997946	0.450752
154.139775	1970.231219	0.586692
126.410199	2219.939594	0.158046
126.410199	1926.232708	0.435629
145.005268	2170.914694	0.142361
145.005268	1838.676735	0.333683
96.027283	2290.453675	0.359058
119.870903	2236.113887	0.390413
119.870903	1680.905747	346.791182
123.586936	2226.923952	0.134971
123.586936	1937.623519	0.391841
98.398284	2289.196463	0.129546
147.971451	2164.109181	0.137004
147.971451	1825.862449	0.368720
147.971451	1969.128794	0.675250
82.431104	2327.539919	0.326281
127.018472	2219.787063	0.541302
155.889398	2166.648178	0.131237
