#---
#---EXFOR Standard Output---
#=============================================================================
#DATASET        O0851002 
#NOW            2022/03/23:15:09:21
#SUBENT         O0851002   20030501
#ENTRY          O0851      20030501
#AUTHOR1        M.Chiari+
#YEAR           2001
#X4REF1         J,NIM/B,174,259,2001
#REFERENCE1     Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.174, p.259 (2001)
#REACTION       13-AL-27(P,EL)13-AL-27,,DA
#D4REAC         R0#
#C4Reaction     (P,EL),DA
#ReactionType   DA
#Quantity       Differential c/s with respect to angle
#IndVarFamCode  [0 2 4      ]
#ExpectedUnits  [B/SR]
#xVariables     2
#+              Y = Y(X1,X2)
#COLUMNS        9
#HEADER         7           9           12
!DATA        ERR-T       ERR-S       ERR-1       ERR-2       ERR-3       EN          EN-ERR      ANG         
!B/SR        PER-CENT    PER-CENT    PER-CENT    PER-CENT    PER-CENT    MEV         KEV         ADEG        
!Y.Value     Y.Err+-     Y.sErr+-    Y.pErr+-    Y.pErr+-    Y.pErr+-    X1.Value    X1.Err+-    X2.Value    
!0.1         0.911       0.944       0.955       0.955       0.955       1.1         1.911       2.1         
!variable    const       const       const       const       const       variable    const       variable    
!1.0         1.0         1.0         1.0         1.0         1.0         1000000.0   1000.0      1.0         
!B/SR        PER-CENT    PER-CENT    PER-CENT    PER-CENT    PER-CENT    EV          EV          ADEG        
#DATA           2512        9           12
 0.289       2.5         1.          1.          0.5         0.5         0.881       3.          165.        
 0.292       2.5         1.          1.          0.5         0.5         0.881       3.          170.        
 0.773       2.5         1.          1.          0.5         0.5         0.905       3.          100.        
 0.659       2.5         1.          1.          0.5         0.5         0.905       3.          105.        
 0.593       2.5         1.          1.          0.5         0.5         0.905       3.          110.        
 0.523       2.5         1.          1.          0.5         0.5         0.905       3.          115.        
 0.481       2.5         1.          1.          0.5         0.5         0.905       3.          120.        
 0.441       2.5         1.          1.          0.5         0.5         0.905       3.          125.        
 0.397       2.5         1.          1.          0.5         0.5         0.905       3.          130.        
 0.364       2.5         1.          1.          0.5         0.5         0.905       3.          135.        
 0.348       2.5         1.          1.          0.5         0.5         0.905       3.          140.        
 0.321       2.5         1.          1.          0.5         0.5         0.905       3.          145.        
 0.305       2.5         1.          1.          0.5         0.5         0.905       3.          150.        
 0.292       2.5         1.          1.          0.5         0.5         0.905       3.          155.        
 0.284       2.5         1.          1.          0.5         0.5         0.905       3.          160.        
 0.275       2.5         1.          1.          0.5         0.5         0.905       3.          165.        
 0.27        2.5         1.          1.          0.5         0.5         0.905       3.          170.        
 0.742       2.5         1.          1.          0.5         0.5         0.929       3.          100.        
 0.64        2.5         1.          1.          0.5         0.5         0.929       3.          105.        
 0.568       2.5         1.          1.          0.5         0.5         0.929       3.          110.        
