Theta	E
83.000000	1766.616250
83.000000	1702.648250
83.000000	1758.620250
83.000000	1689.654750
83.500000	1839.579750
83.500000	1882.558250
83.500000	1888.555250
83.500000	1863.567750
83.500000	1700.649250
83.500000	1760.619250
83.500000	1769.614750
84.000000	1837.580750
84.000000	1882.558250
84.000000	1702.648250
84.000000	1707.645750
84.000000	1692.653250
84.000000	1764.617250
84.500000	1832.583250
84.500000	1878.560250
84.500000	1861.568750
84.500000	1703.647750
84.500000	1688.655250
84.500000	1755.621750
85.000000	1829.584750
85.000000	1874.562250
85.000000	1680.659250
85.000000	1685.656750
85.000000	1695.651750
85.000000	1701.648750
85.000000	1749.624750
85.500000	1828.585250
85.500000	1874.562250
85.500000	1678.660250
85.500000	1740.629250
85.500000	1683.657750
85.500000	1749.624750
86.000000	1828.585250
86.000000	1874.562250
86.000000	1684.657250
86.000000	1740.629250
86.000000	1748.625250
86.500000	1827.585750
86.500000	1878.560250
86.500000	1685.656750
86.500000	1696.651250
86.500000	1675.661750
86.500000	1665.666750
86.500000	1744.627250
87.000000	1829.584750
87.000000	1875.561750
87.000000	1868.565250
87.000000	1681.658750
87.000000	1738.630250
87.000000	1747.625750
87.000000	1670.664250
87.500000	1826.586250
87.500000	1874.562250
87.500000	1679.659750
87.500000	1742.628250
87.500000	1694.652250
88.000000	1827.585750
88.000000	1872.563250
88.000000	1864.567250
88.000000	1691.653750
88.000000	1681.658750
88.000000	1744.627250
88.500000	1826.586250
88.500000	1877.560750
88.500000	1868.565250
88.500000	1680.659250
88.500000	1673.662750
88.500000	1692.653250
89.000000	1826.586250
89.000000	1870.564250
89.000000	1681.658750
89.000000	1692.653250
89.000000	1740.629250
89.000000	1751.623750
89.500000	1828.585250
89.500000	1877.560750
89.500000	1868.565250
89.500000	1682.658250
89.500000	1748.625250
89.500000	1733.632750
90.000000	1816.591250
90.000000	1864.567250
90.000000	1675.661750
90.000000	1661.668750
90.000000	1720.639250
90.000000	1647.675750
90.500000	1816.591250
90.500000	1866.566250
90.500000	1860.569250
90.500000	1654.672250
90.500000	1665.666750
90.500000	1728.635250
90.500000	1684.657250
91.000000	1861.568750
91.000000	1815.591750
